HeightRank,Name,Classification(DoBIH codes),Completed,Completed Date,Height(ft),Height(m),URL,OS Grid Reference,Planned,Priority,Prom.(ft),Prom.(m),Section,Topo Map,X,Y,Latitude,Longitude
165,Whinlatter,"W,B,Sy,Fel",,,"1,696",517,https://en.wikipedia.org/wiki/WhinlatterÊ[Brown How],NY1910025100,,,52,16,North Western Fells,89 90,319100,525100,54.614547,-3.2542157
166,Sallows,"5,Dew,W,B,Sy,Fel",,,"1,693",516,https://en.wikipedia.org/wiki/Sallows,NY4360003900,,,226,69,Far Eastern Fells,90,343600,503900,54.427384,-2.8708398
167,High Tove,"W,B,Sy,Fel",,,"1,690",515,https://en.wikipedia.org/wiki/High_Tove,NY2890016500,,,52,16,Central Fells,89 90,328900,516500,54.538752,-3.100416
168,Mellbreak,"Ma,5,Dew,W,B,Sy,Fel",,,"1,680",512,https://en.wikipedia.org/wiki/Mellbreak,NY1480018600,,,853,260,Western Fells,89,314800,518600,54.555441,-3.3188918
169,Broom Fell,"s5,W,B,Sy,Fel",,,"1,677",511,https://en.wikipedia.org/wiki/Broom_Fell,NY1940027100,,,89,27,North Western Fells,89 90,319400,527100,54.632565,-3.2501226
170,Hen Comb,"Hu,5,Dew,sMa,W,B,Sy,Fel",,,"1,670",509,https://en.wikipedia.org/wiki/Hen_Comb,NY1320018100,,,459,140,Western Fells,89,313200,518100,54.550677,-3.3434762
171,Beda Fell [Beda Head],"5,Dew,W,B,Sy,Fel",,,"1,670",509,https://en.wikipedia.org/wiki/Beda_FellÊ[Beda Head],NY4280017100,,,200,61,Far Eastern Fells,90,342800,517100,54.545908,-2.8857299
172,Low Pike,"W,B,Sy,Fel",,,"1,667",508,https://en.wikipedia.org/wiki/Low_Pike,NY3730007800,,,59,18,Eastern Fells,90,337300,507800,54.461689,-2.9687584
173,Little Mell Fell,"Ma,5,Dew,W,B,Sy,Fel",,,"1,657",505,https://en.wikipedia.org/wiki/Little_Mell_Fell,NY4230024000,,,741,226,Eastern Fells,90,342300,524000,54.607852,-2.8948158
174,Stone Arthur,"W,B,Sy,Fel",,,"1,654",504,https://en.wikipedia.org/wiki/Stone_Arthur,NY3470009200,,,10,3,Eastern Fells,90,334700,509200,54.473941,-3.0091705
175,Dodd,"Hu,5,Dew,W,B,Sy,Fel",,,"1,647",502,https://en.wikipedia.org/wiki/Dodd_(Skiddaw),NY2440027300,,,361,110,Northern Fells,89 90,324400,527300,54.635136,-3.172736
176,Green Crag,"Hu,4,sMa,W,B,Sy,Fel",,,"1,603",489,https://en.wikipedia.org/wiki/Green_Crag,SD2000098200,,,472,144,Southern Fells,96,320000,498200,54.373,-3.2329856
177,Grike,"4,W,B,Sy,Fel",,,"1,601",488,https://en.wikipedia.org/wiki/Grike_(Lake_District),NY0840014000,,,121,37,Western Fells,89,308400,514000,54.512995,-3.4163853
178,Baystones [Wansfell],"Hu,4,sMa,W,Fel",,,"1,597",487,https://en.wikipedia.org/wiki/BaystonesÊ[Wansfell],NY4030005100,,,485,148,Far Eastern Fells,90,340300,505100,54.437789,-2.92194
179,Longlands Fell,"4,W,B,Sy,Fel",,,"1,585",483,https://en.wikipedia.org/wiki/Longlands_Fell,NY2750035400,,,121,37,Northern Fells,89 90,327500,535400,54.70837,-3.126734
180,Sour Howes,"4,W,B,Sy",,,"1,585",483,https://en.wikipedia.org/wiki/Sour_Howes,NY4270003200,,,115,35,Far Eastern Fells,90,342700,503200,54.420993,-2.8845747
181,Gowbarrow Fell,"W,B,Sy,Fel",,,"1,579",481,https://en.wikipedia.org/wiki/Gowbarrow_Fell,NY4070021800,,,30,9,Eastern Fells,90,340700,521800,54.587898,-2.9191377
182,Burnbank Fell,"W,B,Sy",,,"1,558",475,https://en.wikipedia.org/wiki/Burnbank_Fell,NY1100020900,,,72,22,Western Fells,89,311000,520900,54.57545,-3.3783268
183,Armboth Fell,W,,,"1,558",475,https://en.wikipedia.org/wiki/Armboth_Fell,NY2950015700,,,25,8,Central Fells,89 90,329500,515700,54.531648,-3.0909526
184,Lingmoor Fell,"Ma,4,W,B,Sy,Fel",,,"1,542",470,https://en.wikipedia.org/wiki/Lingmoor_Fell,NY3020004600,,,814,248,Southern Fells,90,330200,504600,54.432008,-3.0775116
185,Barf,"4,W,B,Sy,Fel",,,"1,539",469,https://en.wikipedia.org/wiki/Barf_(Lake_District),NY2140026700,,,125,38,North Western Fells,89 90,321400,526700,54.629287,-3.2190402
186,Raven Crag,"4,W,B,Sy,Fel",,,"1,512",461,https://en.wikipedia.org/wiki/Raven_Crag,NY3030018700,,,144,44,Central Fells,90,330300,518700,54.558715,-3.0793041
187,Barrow,"4,W,B,Sy,Fel",,,"1,493",455,https://en.wikipedia.org/wiki/Barrow_(Lake_District),NY2270021800,,,233,71,North Western Fells,89 90,322700,521800,54.585462,-3.1976145
188,Graystones,W,,,"1,483",452,https://en.wikipedia.org/wiki/Graystones,NY1760026600,,,31,9,North Western Fells,89 90,317600,526600,54.627781,-3.2778586
189,Catbells,"4,W,B,Sy,Fel",,,"1,480",451,https://en.wikipedia.org/wiki/Catbells,NY2440019800,,,285,87,North Western Fells,89 90,324400,519800,54.56775,-3.1708004
190,Nab Scar,"W,B,Sy,Fel",,,"1,476",450,https://en.wikipedia.org/wiki/Nab_Scar,NY3550007200,,,7,2,Eastern Fells,90,335500,507200,54.456072,-2.9963908
191,Great Crag,"4,W,B,Sy,Fel",,,"1,473",449,https://en.wikipedia.org/wiki/Great_Crag,NY2700014600,,,105,32,Central Fells,89 90,327000,514600,54.52141,-3.1293042
192,Binsey,"Ma,4,W,B,Sy,Fel",,,"1,467",447,"https://en.wikipedia.org/wiki/Binsey,_Cumbria",NY2250035500,,,794,242,Northern Fells,89 90,322500,535500,54.708522,-3.2043431
193,Glenridding Dodd,"4,W,B,Sy,Fel",,,"1,450",442,https://en.wikipedia.org/wiki/Glenridding_Dodd,NY3800017500,,,148,45,Eastern Fells,90,338000,517500,54.548936,-2.9600032
194,Arnison Crag,"4,W,B,Sy,Fel",,,"1,421",433,https://en.wikipedia.org/wiki/Arnison_Crag,NY3930014900,,,105,32,Eastern Fells,90,339300,514900,54.525731,-2.939372
195,Steel Knotts,"4,W,B,Sy,Fel",,,"1,417",432,https://en.wikipedia.org/wiki/Steel_Knotts,NY4400018100,,,167,51,Far Eastern Fells,90,344000,518100,54.555028,-2.867373
196,Low Fell,"Ma,4,W,B,Sy,Fel",,,"1,388",423,https://en.wikipedia.org/wiki/Low_Fell_(Lake_District),NY1370022600,,,873,266,Western Fells,89,313700,522600,54.591192,-3.3370713
197,Buckbarrow,"W,B,Sy,Fel",,,"1,388",423,https://en.wikipedia.org/wiki/Buckbarrow,NY1350006100,,,13,4,Western Fells,89,313500,506100,54.442914,-3.3353193
198,Gibson Knott,"W,B,Sy,Fel",,,"1,378",420,https://en.wikipedia.org/wiki/Gibson_Knott,NY3160010000,,,33,10,Central Fells,90,331600,510000,54.48072,-3.057184
