HeightRank,Name,Classification(DoBIH codes),Completed,Completed Date,Height(ft),Height(m),URL,OS Grid Reference,Planned,Priority,Prom.(ft),Prom.(m),Section,Topo Map,X,Y,Latitude,Longitude
45,Glaramara,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,569",783,https://en.wikipedia.org/wiki/Glaramara,NY2450010400,,,397,121,Southern Fells,89 90,324500,510400,54.483306,-3.1668425
46,Kidsty Pike,"N,W,B,Sy,Fel",,,"2,559",780,https://en.wikipedia.org/wiki/Kidsty_Pike,NY4470012500,,,49,15,Far Eastern Fells,90,344700,512500,54.504784,-2.8554979
47,Harter Fell (Mardale),"Hu,Sim,Hew,N,sMa,W,B,Sy,Fel",,,"2,556",779,https://en.wikipedia.org/wiki/Harter_Fell_(Mardale),NY4590009300,,,490,149,Far Eastern Fells,90,345900,509300,54.476159,-2.8363814
48,Dow Crag,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,552",778,https://en.wikipedia.org/wiki/Dow_Crag,SD2620097700,,,423,129,Southern Fells,96 97,326200,497700,54.369444,-3.1374434
49,Red Screes,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,546",776,https://en.wikipedia.org/wiki/Red_Screes,NY3960008700,,,853,260,Eastern Fells,90,339600,508700,54.470055,-2.9334666
50,Sail,"Sim,Hew,N,W,B,Sy,Fel",,,"2,536",773,https://en.wikipedia.org/wiki/Sail_(Lake_District),NY1980020200,,,105,32,North Western Fells,89 90,319800,520200,54.570634,-3.2420387
51,Grey Friar,"Sim,Hew,N,W,B,Sy,Fel",,,"2,536",773,https://en.wikipedia.org/wiki/Grey_Friar,NY2600000300,,,256,78,Southern Fells,89 90,326000,500300,54.392777,-3.1411692
52,Wandope,"Sim,Hew,N,W,B,Sy,Fel",,,"2,533",772,https://en.wikipedia.org/wiki/Wandope,NY1880019700,,,98,30,North Western Fells,89 90,318800,519700,54.565982,-3.2573641
53,Hopegill Head,"Sim,Hew,N,sHu,W,B,Sy,Fel",,,"2,526",770,https://en.wikipedia.org/wiki/Hopegill_Head,NY1850022100,,,318,97,North Western Fells,89 90,318500,522100,54.587497,-3.2626694
54,Great Rigg,"Sim,Hew,N,W,B,Sy,Fel",,,"2,513",766,https://en.wikipedia.org/wiki/Great_Rigg,NY3550010400,,,102,31,Eastern Fells,90,335500,510400,54.484826,-2.9970899
55,Stony Cove Pike,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,503",763,https://en.wikipedia.org/wiki/Stony_Cove_Pike,NY4170010000,,,561,171,Far Eastern Fells,90,341700,510000,54.481983,-2.9013256
56,Wetherlam,"Hu,Sim,Hew,N,sMa,W,B,Sy,Fel",,,"2,503",763,https://en.wikipedia.org/wiki/Wetherlam,NY2880001100,,,476,145,Southern Fells,89 90,328800,501100,54.400365,-3.0982478
57,High Raise,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,500",762,https://en.wikipedia.org/wiki/High_Raise_(Langdale)Ê[Langdale],NY2800009500,,,928,283,Far Eastern Fells,89 90,328000,509500,54.475729,-3.1126124
58,Slight Side,"W,B,Sy,Fel,xN",,,"2,500",762,https://en.wikipedia.org/wiki/Slight_Side,NY2090005000,,,46,14,Southern Fells,89 90,320900,505000,54.434238,-3.2209489
59,Mardale Ill Bell,"W,B,Sy,Fel,xN",,,"2,493",760,https://en.wikipedia.org/wiki/Mardale_Ill_Bell,NY4470010100,,,33,10,Far Eastern Fells,90,344700,510100,54.483218,-2.8550475
60,Ill Bell,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,484",757,https://en.wikipedia.org/wiki/Ill_Bell,NY4360007700,,,407,124,Far Eastern Fells,90,343600,507700,54.46153,-2.8715648
61,Hart Side,"N,sSim,W,B,Sy,Fel",,,"2,480",756,https://en.wikipedia.org/wiki/Hart_Side,NY3590019700,,,75,23,Eastern Fells,90,335900,519700,54.568442,-2.9929432
62,Red Pike (Buttermere),"Sim,Hew,N,W,B,Sy,Fel",,,"2,477",755,https://en.wikipedia.org/wiki/Red_Pike_(Buttermere),NY1600015400,,,131,40,Western Fells,89,316000,515400,54.526891,-3.2994284
63,Dale Head,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,470",753,https://en.wikipedia.org/wiki/Dale_Head,NY2220015300,,,"1,302",397,North Western Fells,89 90,322200,515300,54.526984,-3.2036278
64,Carl Side,"Sim,Hew,N,W,B,Sy,Fel",,,"2,448",746,https://en.wikipedia.org/wiki/Carl_Side,NY2540028000,,,98,30,Northern Fells,89 90,325400,528000,54.641575,-3.1574259
65,High Crag,"Sim,Hew,N,W,B,Sy,Fel",,,"2,441",744,https://en.wikipedia.org/wiki/High_Crag,NY1800013900,,,115,35,Western Fells,89 90,318000,513900,54.513742,-3.2681164
66,The Knott,"W,B,Sy,xN",,,"2,425",739,https://en.wikipedia.org/wiki/The_Knott,NY4370012600,,,43,13,Far Eastern Fells,90,343700,512600,54.505572,-2.8709578
67,Robinson,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,418",737,https://en.wikipedia.org/wiki/Robinson_(Lake_District),NY2010016800,,,528,161,North Western Fells,89 90,320100,516800,54.540134,-3.2364748
68,Seat Sandal,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,417",737,https://en.wikipedia.org/wiki/Seat_Sandal,NY3440011500,,,498,152,Eastern Fells,90,334400,511500,54.494568,-3.0143106
69,Harrison Stickle,"Sim,Hew,N,W,B,Sy,Fel",,,"2,415",736,https://en.wikipedia.org/wiki/Harrison_Stickle,NY2810007400,,,174,53,Central Fells,89 90,328100,507400,54.456874,-3.1105583
70,Sergeant Man,"W,B,Sy,Fel,xN",,,"2,415",736,https://en.wikipedia.org/wiki/Sergeant_Man,NY2860008800,,,39,12,Central Fells,89 90,328600,508800,54.469524,-3.1031859
71,Long Side,"Sim,Hew,N,W,B,Sy,Fel",,,"2,408",734,https://en.wikipedia.org/wiki/Long_Side,NY2480028400,,,131,40,Northern Fells,89 90,324800,528400,54.64508,-3.1668236
72,Kentmere Pike,"Sim,Hew,N,W,B,Sy,Fel",,,"2,395",730,https://en.wikipedia.org/wiki/Kentmere_Pike,NY4650007700,,,128,39,Far Eastern Fells,90,346500,507700,54.461845,-2.8268332
73,Hindscarth,"Sim,Hew,N,W,B,Sy,Fel",,,"2,385",727,https://en.wikipedia.org/wiki/Hindscarth,NY2150016500,,,233,71,North Western Fells,89 90,321500,516500,54.537658,-3.2147613
74,Ullscarf,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,382",726,https://en.wikipedia.org/wiki/Ullscarf,NY2910012100,,,387,118,Central Fells,89 90,329100,512100,54.499245,-3.0962657
75,Clough Head,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,382",726,https://en.wikipedia.org/wiki/Clough_Head,NY3330022500,,,354,108,Eastern Fells,90,333300,522500,54.593264,-3.0337869
76,Thunacar Knott,"N,sSim,W,B,Sy,Fel",,,"2,372",723,https://en.wikipedia.org/wiki/Thunacar_Knott,NY2790007900,,,89,27,Central Fells,89 90,327900,507900,54.461338,-3.1137647
77,Froswick,"Sim,Hew,N,W,B,Sy,Fel",,,"2,362",720,https://en.wikipedia.org/wiki/Froswick,NY4350008500,,,246,75,Far Eastern Fells,90,343500,508500,54.468708,-2.8732604
78,Birkhouse Moor,"N,sSim,W,B,Sy,Fel",,,"2,356",718,https://en.wikipedia.org/wiki/Birkhouse_Moor,NY3630015900,,,69,21,Eastern Fells,90,336300,515900,54.534347,-2.9859334
79,Lonscale Fell,"Sim,Hew,N,W,B,Sy,Fel",,,"2,346",715,https://en.wikipedia.org/wiki/Lonscale_Fell,NY2850027100,,,164,50,Northern Fells,89 90,328500,527100,54.633938,-3.1091822
80,Brandreth,"Sim,Hew,N,W,B,Sy,Fel",,,"2,346",715,https://en.wikipedia.org/wiki/Brandreth,NY2140011900,,,200,61,Western Fells,89 90,321400,511900,54.496312,-3.2150786
81,Branstree,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,339",713,https://en.wikipedia.org/wiki/Branstree,NY4780009900,,,449,137,Far Eastern Fells,90,347800,509900,54.48175,-2.8071701
82,Knott,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,329",710,"https://en.wikipedia.org/wiki/Knott,_Caldbeck",NY2960032900,,,794,242,Northern Fells,89 90,329600,532900,54.686206,-3.0935438
83,Pike o’Stickle,"Sim,Hew,N,W,B,Sy,Fel",,,"2,326",709,https://en.wikipedia.org/wiki/Pike_of_Stickle,NY2730007300,,,177,54,Central Fells,89 90,327300,507300,54.455861,-3.122871
84,Whiteside,"N,W,B,Sy,Fel",,,"2,320",707,https://en.wikipedia.org/wiki/Whiteside_(Lake_District)Ê[West Top],NY1700021900,,,59,18,North Western Fells,89 90,317000,521900,54.585456,-3.2858178
85,Yoke,"Sim,Hew,N,W,B,Sy,Fel",,,"2,316",706,https://en.wikipedia.org/wiki/Yoke_(Lake_District),NY4370006700,,,125,38,Far Eastern Fells,90,343700,506700,54.452556,-2.8698317
86,Pike o’Blisco,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,313",705,https://en.wikipedia.org/wiki/Pike_of_Blisco,NY2710004200,,,581,177,Southern Fells,89 90,327100,504200,54.427978,-3.1251912
87,Bowscale Fell,"Sim,Hew,N,W,B,Sy,Fel",,,"2,303",702,https://en.wikipedia.org/wiki/Bowscale_Fell,NY3330030500,,,285,87,Northern Fells,90,333300,530500,54.665146,-3.0356121
88,Cold Pike,"Sim,Hew,N,W,B,Sy,Fel",,,"2,300",701,https://en.wikipedia.org/wiki/Cold_Pike,NY2620003600,,,151,46,Southern Fells,89 90,326200,503600,54.422457,-3.1389113
89,Pavey Ark,"N,W,B,Sy,Fel",,,"2,297",700,https://en.wikipedia.org/wiki/Pavey_Ark,NY2840007900,,,49,15,Central Fells,89 90,328400,507900,54.461409,-3.106053
90,Gray Crag,"N,W,B,Sy,Fel",,,"2,293",699,https://en.wikipedia.org/wiki/Gray_Crag,NY4270011700,,,52,16,Far Eastern Fells,90,342700,511700,54.497373,-2.8862238
91,Grey Knotts,"N,W,B,Sy,Fel",,,"2,287",697,https://en.wikipedia.org/wiki/Grey_Knotts,NY2170012500,,,52,16,Western Fells,89 90,321700,512500,54.501749,-3.2106072
92,Caw Fell,"N,sSim,W,B,Sy,Fel",,,"2,287",697,https://en.wikipedia.org/wiki/Caw_Fell,NY1320010900,,,72,22,Western Fells,89,313200,510900,54.485989,-3.3413539
93,Rest Dodd,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,283",696,https://en.wikipedia.org/wiki/Rest_Dodd,NY4320013600,,,364,111,Far Eastern Fells,90,343200,513600,54.514502,-2.8788713
94,Seatallan,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,270",692,https://en.wikipedia.org/wiki/Seatallan,NY1400008400,,,633,193,Western Fells,89,314000,508400,54.463664,-3.3282807
95,Ullock Pike,"W,B,Sy,Fel,xN",,,"2,264",690,https://en.wikipedia.org/wiki/Ullock_Pike,NY2440028700,,,46,14,Northern Fells,89 90,324400,528700,54.647715,-3.1730982
96,Great Calva,"Hu,Sim,Hew,N,sMa,W,B,Sy,Fel",,,"2,264",690,https://en.wikipedia.org/wiki/Great_Calva,NY2900031100,,,466,142,Northern Fells,89 90,329000,531100,54.669949,-3.1024105
97,Bannerdale Crags,"Sim,Hew,N,W,B,Sy,Fel",,,"2,241",683,https://en.wikipedia.org/wiki/Bannerdale_Crags,NY3350029000,,,121,37,Northern Fells,90,333500,529000,54.651694,-3.0321701
98,Loft Crag,"N,sSim,W,B,Sy,Fel",,,"2,231",680,https://en.wikipedia.org/wiki/Loft_Crag,NY2770007100,,,72,22,Central Fells,89 90,327700,507100,54.454121,-3.1166536
99,Sheffield Pike,"Sim,Hew,N,sHu,W,B,Sy,Fel",,,"2,215",675,https://en.wikipedia.org/wiki/Sheffield_Pike,NY3690018100,,,299,91,Eastern Fells,90,336900,518100,54.554191,-2.9771349
100,Bakestall,"W,B,Sy,Fel",,,"2,208",673,https://en.wikipedia.org/wiki/Bakestall,NY2660030800,,,23,7,Northern Fells,89 90,326600,530800,54.666909,-3.1395402
101,Scar Crags,"Sim,Hew,N,W,B,Sy,Fel",,,"2,205",672,https://en.wikipedia.org/wiki/Scar_Crags,NY2080020600,,,180,55,North Western Fells,89 90,320800,520600,54.574386,-3.2266827
102,Loadpot Hill,"Sim,Hew,N,W,B,Sy,Fel",,,"2,205",672,https://en.wikipedia.org/wiki/Loadpot_Hill,NY4560018000,,,161,49,Far Eastern Fells,90,345600,518000,54.554304,-2.8426186
103,Wether Hill,"W,B,Sy,Fel,xN",,,"2,201",671,https://en.wikipedia.org/wiki/Wether_Hill_(Lake_District),NY4550016700,,,16,5,Far Eastern Fells,90,345500,516700,54.542612,-2.8439233
104,Tarn Crag,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,178",664,https://en.wikipedia.org/wiki/Tarn_Crag_(Far_Eastern_Fells),NY4880007800,,,525,160,Far Eastern Fells,90,348800,507800,54.462981,-2.7913732
105,Carrock Fell,"Sim,Hew,N,sHu,W,B,Sy,Fel",,,"2,175",663,https://en.wikipedia.org/wiki/Carrock_Fell,NY3410033600,,,299,91,Northern Fells,90,334100,533600,54.693105,-3.0239123
106,Whiteless Pike,"Sim,Hew,N,W,B,Sy,Fel",,,"2,165",660,https://en.wikipedia.org/wiki/Whiteless_Pike,NY1800018900,,,118,36,North Western Fells,89 90,318000,518900,54.558666,-3.2695103
107,High Pike (Caldbeck),"Sim,Hew,N,W,B,Sy,Fel",,,"2,159",658,https://en.wikipedia.org/wiki/High_Pike_(Caldbeck),NY3180035000,,,226,69,Northern Fells,90,331800,535000,54.705378,-3.0599165
108,Place Fell,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,156",657,https://en.wikipedia.org/wiki/Place_Fell,NY4050016900,,,860,262,Far Eastern Fells,90,340500,516900,54.543845,-2.9212386
109,High Pike (Scandale),"W,B,Sy,Fel",,,"2,152",656,https://en.wikipedia.org/wiki/High_Pike_(Scandale),NY3740008800,,,20,6,Eastern Fells,90,337400,508800,54.470687,-2.967428
110,Selside Pike,"Sim,Hew,N,W,B,Sy,Fel",,,"2,149",655,https://en.wikipedia.org/wiki/Selside_Pike,NY4900011100,,,118,36,Far Eastern Fells,90,349000,511100,54.492655,-2.7888587
111,Middle Dodd,"W,B,Sy,Fel",,,"2,146",654,https://en.wikipedia.org/wiki/Middle_Dodd,NY3970009500,,,46,14,Eastern Fells,90,339700,509500,54.477256,-2.9320874
112,Harter Fell (Eskdale),"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,146",654,https://en.wikipedia.org/wiki/Harter_Fell_(Eskdale),SD2180099700,,,906,276,Southern Fells,96,321800,499700,54.386757,-3.2056792
113,High Spy,"Hu,Sim,Hew,N,sMa,W,B,Sy,Fel",,,"2,143",653,https://en.wikipedia.org/wiki/High_Spy,NY2340016200,,,485,148,North Western Fells,89 90,323400,516200,54.535254,-3.185325
114,Great Sca Fell,"W,B,Sy,Fel,xN",,,"2,136",651,https://en.wikipedia.org/wiki/Great_Sca_Fell,NY2910033900,,,43,13,Northern Fells,89 90,329100,533900,54.695121,-3.1015415
115,Rossett Pike,"Sim,Hew,N,W,B,Sy,Fel",,,"2,136",651,https://en.wikipedia.org/wiki/Rossett_Pike,NY2490007500,,,131,40,Southern Fells,89 90,324900,507500,54.457309,-3.1599324
116,Fleetwith Pike,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,129",649,https://en.wikipedia.org/wiki/Fleetwith_Pike,NY2050014100,,,388,118,Western Fells,89 90,320500,514100,54.515938,-3.2295644
117,Base Brown,"Sim,Hew,N,W,B,Sy,Fel",,,"2,119",646,https://en.wikipedia.org/wiki/Base_Brown,NY2250011400,,,125,38,Western Fells,89 90,322500,511400,54.491989,-3.1979675
118,Gray Crag,"Sim,Hew,N,W,B,Sy,Fel",,,"2,093",638,https://en.wikipedia.org/wiki/Grey_CragÊ[Sleddale],NY4970007200,,,135,41,Far Eastern Fells,90,349700,507200,54.45768,-2.7773881
119,Causey Pike,"Sim,Hew,N,W,B,Sy,Fel",,,"2,090",637,https://en.wikipedia.org/wiki/Causey_Pike,NY2180020800,,,131,40,North Western Fells,89 90,321800,520800,54.576339,-3.2112706
120,Little Hart Crag,"Sim,Hew,N,W,B,Sy,Fel",,,"2,090",637,https://en.wikipedia.org/wiki/Little_Hart_CragÊW,NY3870010000,,,112,34,Eastern Fells,90,338700,510000,54.481629,-2.9476214
121,Starling Dodd,"Sim,Hew,N,W,B,Sy,Fel",,,"2,077",633,https://en.wikipedia.org/wiki/Starling_Dodd,NY1420015700,,,240,73,Western Fells,89,314200,515700,54.529285,-3.3273202
122,Mungrisdale Common,"W,Sy",,,"2,077",633,https://en.wikipedia.org/wiki/Mungrisdale_Common,NY3100029200,,,8,2,Northern Fells,90,331000,529200,54.653155,-3.0709563
123,Yewbarrow,"Hu,Sim,Hew,N,sMa,W,B,Sy,Fel",,,"2,057",627,https://en.wikipedia.org/wiki/Yewbarrow,NY1730008400,,,466,142,Western Fells,89 90,317300,508400,54.464213,-3.277384
124,Birks,"N,sSim,W,B,Sy,Fel",,,"2,041",622,https://en.wikipedia.org/wiki/Birks_(Lake_District),NY3800014300,,,66,20,Eastern Fells,90,338000,514300,54.520182,-2.9593285
125,Hartsop Dodd,"N,sSim,W,B,Sy,Fel",,,"2,028",618,https://en.wikipedia.org/wiki/Hartsop_Dodd,NY4110011800,,,79,24,Far Eastern Fells,90,341100,511800,54.498088,-2.9109444
126,Great Borne,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,021",616,https://en.wikipedia.org/wiki/Great_Borne,NY1230016300,,,371,113,Western Fells,89,312300,516300,54.534349,-3.3568494
127,Heron Pike,"N,sSim,W,B,Sy",,,"2,008",612,https://en.wikipedia.org/wiki/Heron_Pike,NY3550008300,,,69,21,Eastern Fells,90,335500,508300,54.465956,-2.996631
128,Illgill Head,"Ma,Sim,Dew,W,B,Sy,Fel",,,"1,998",609,https://en.wikipedia.org/wiki/Illgill_Head,NY1680004900,,,"1,030",314,Southern Fells,89,316800,504900,54.432684,-3.2841111
129,High Seat,"Hu,Sim,Dew,W,B,Sy,Fel",,,"1,995",608,https://en.wikipedia.org/wiki/High_Seat_(Lake_District),NY2870018000,,,446,136,Central Fells,89 90,328700,518000,54.552202,-3.1038704
130,Seathwaite Fell,"W,B,Sy,Fel",,,"1,972",601,https://en.wikipedia.org/wiki/Seathwaite_Fell,NY2290010100,,,39,12,Southern Fells,89 90,322900,510100,54.48037,-3.191454
131,Haystacks,"5,Dew,W,B,Sy,Fel",,,"1,959",597,https://en.wikipedia.org/wiki/Haystacks_(Lake_District),NY1930013100,,,256,78,Western Fells,89 90,319300,513100,54.506763,-3.2478223
132,Bleaberry Fell,"5,Dew,W,B,Sy,Fel",,,"1,936",590,https://en.wikipedia.org/wiki/Bleaberry_Fell,NY2850019500,,,138,42,Central Fells,89 90,328500,519500,54.565651,-3.1073271
133,Shipman Knotts,"W,B,Sy,Fel",,,"1,926",587,https://en.wikipedia.org/wiki/Shipman_Knotts,NY4720006200,,,36,11,Far Eastern Fells,90,347200,506200,54.448439,-2.8157677
134,Brae Fell,"W,B,Sy,Fel",,,"1,923",586,https://en.wikipedia.org/wiki/Brae_Fell,NY2880035100,,,46,14,Northern Fells,89 90,328800,535100,54.70586,-3.1064885
135,Middle Fell,"Hu,5,Dew,W,B,Sy,Fel",,,"1,909",582,https://en.wikipedia.org/wiki/Middle_Fell,NY1500007200,,,384,117,Western Fells,89,315000,507200,54.453051,-3.3125125
